id,focus,signal,slack,drag,confidence,score,lane
l001,search depth,35,33,6,25,166,watch
l002,boundary pressure,35,34,6,55,198,ship
l003,complexity,35,35,6,85,230,ship
l004,input width,35,36,18,25,112,watch
l005,search depth,35,37,18,55,144,watch
l006,boundary pressure,35,38,18,85,176,watch
l007,complexity,35,39,34,25,38,hold
l008,input width,35,40,34,55,70,hold
l009,search depth,35,41,34,85,102,watch
l010,boundary pressure,60,42,6,25,259,ship
l011,complexity,60,43,6,55,291,ship
l012,input width,60,44,6,85,323,ship
l013,search depth,60,45,18,25,205,ship
l014,boundary pressure,60,46,18,55,237,ship
l015,complexity,60,47,18,85,269,ship
l016,input width,60,48,34,25,131,watch
l017,search depth,60,32,34,55,129,watch
l018,boundary pressure,60,33,34,85,161,watch
l019,complexity,85,34,6,25,318,ship
l020,input width,85,35,6,55,350,ship
l021,search depth,85,36,6,85,382,ship
l022,boundary pressure,85,37,18,25,264,ship
l023,complexity,85,38,18,55,296,ship
l024,input width,85,39,18,85,328,ship
l025,search depth,85,40,34,25,190,ship
l026,boundary pressure,85,41,34,55,222,ship
l027,complexity,85,42,34,85,254,ship
